region,ownd,kids,inc,sex,wlth,hv,incmed,incavg,low,npro,gifdol,gifl,gifr,mdon,lag,gifa,donr,DONR,DAMT
ter3,1,1,5,1,8,303,61,90,6,64,86,15,10,22,8,17.37,,0,2.41
ter5,1,1,4,0,8,317,121,121,0,51,56,18,7,14,7,9.59,,1,9.99290157429832
ter3,1,2,3,1,5,194,112,112,0,75,160,28,34,14,4,14.0,,0,3.68
ter1,0,2,3,1,8,127,24,33,15,39,72,5,4,15,9,5.24,,0,0.12
ter3,0,2,4,0,3,137,21,40,17,95,186,32,35,23,28,11.7,,0,0.43
ter3,1,0,3,0,9,340,85,117,1,22,41,28,25,21,4,15.13,,1,15.88037023523303
ter4,1,1,4,1,9,197,64,72,2,56,85,15,8,17,10,10.44,,0,4.741111111111111
ter5,1,1,3,0,8,138,26,32,32,110,252,20,13,15,14,15.86,,0,2.49
ter2,1,3,1,1,9,80,41,41,22,20,45,13,8,16,4,6.63,,0,0.53
ter4,0,2,7,1,8,171,44,55,10,81,101,44,41,15,6,15.24,,0,0.0
ter2,0,3,1,1,8,130,55,63,4,13,24,16,22,14,6,11.24,,0,0.09
ter4,1,2,4,0,8,138,44,67,10,86,145,4,3,19,9,5.17,,0,3.46
ter2,1,2,4,1,4,183,27,47,20,75,90,9,15,22,7,7.69,,1,10.045636876062407
ter1,1,0,2,0,6,124,29,30,18,49,68,19,17,25,8,10.4,,1,8.514596306471306
ter1,1,3,7,0,8,162,37,37,24,30,85,19,22,23,10,10.66,,0,0.14
ter1,0,0,6,1,7,145,29,42,9,11,48,13,6,20,5,9.04,,0,1.48
ter3,1,2,4,1,3,119,24,45,3,30,49,39,24,24,3,10.11,,0,0.13
ter2,1,4,5,1,8,104,20,35,28,84,83,48,43,16,6,15.81,,0,6.624038461538462
ter2,1,1,4,0,4,135,22,41,16,88,346,16,9,15,7,12.79,,1,10.890450663906222
ter1,1,0,4,0,8,160,62,62,1,51,75,5,6,17,11,3.92,,1,12.879500079496115
ter2,1,2,7,1,0,189,24,51,13,17,52,17,17,17,6,6.3,,0,0.29
ter2,1,2,2,1,3,124,31,32,15,42,105,6,7,21,3,4.45,,0,1.28
ter3,1,2,4,1,8,123,19,26,36,87,114,50,26,13,4,18.16,,0,8.10510721699352
ter5,1,3,4,0,6,106,20,36,32,42,61,33,23,24,6,13.41,,0,2.2402777777777776
ter5,1,4,6,0,9,130,47,47,12,63,116,22,19,16,5,21.21,,0,0.7
ter2,1,1,3,0,8,145,24,58,16,26,55,19,19,23,3,13.45,,1,9.796184187767954
ter5,1,0,1,1,6,134,27,42,28,13,42,42,17,19,6,28.42,,0,5.06
ter1,1,5,7,1,6,186,48,51,10,29,61,21,27,16,5,14.98,,0,0.45
ter4,1,3,4,1,8,130,39,43,10,65,98,8,5,23,8,8.47,,0,1.29
ter2,1,4,3,1,9,177,171,171,0,26,61,5,4,23,8,4.86,,1,8.353639226270804
ter3,1,3,4,0,8,215,40,54,2,86,109,14,7,16,3,9.83,,0,8.08132919034579
ter5,1,0,4,1,6,173,26,53,24,47,86,86,41,38,8,21.67,,1,14.765935867450716
ter5,1,2,2,1,8,152,25,38,23,46,62,17,9,21,12,7.73,,0,0.0
ter3,1,2,2,0,1,166,65,65,3,22,44,14,12,27,5,10.37,,0,0.0
ter1,1,1,4,0,3,161,25,43,18,83,106,39,15,17,29,13.28,,0,1.12
ter4,1,2,3,0,7,419,82,105,0,5,43,6,7,9,8,3.77,,0,2.62
ter2,1,4,4,0,0,217,41,68,1,50,79,18,15,19,11,10.81,,0,2.39
ter2,1,2,3,0,8,140,27,36,14,36,56,10,17,20,11,7.73,,0,4.925125010594118
ter5,1,3,2,0,9,134,33,45,24,45,71,11,13,17,5,5.57,,0,0.13
ter2,0,3,5,0,1,91,13,28,64,82,140,21,29,16,15,22.09,,0,0.0
